mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tfidf__sublinear_tf,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_clf__penalty,param_clf__dual,param_clf__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
15.521862506866455,0.5725949320520705,1.6210407257080077,0.15605864889585733,True,"(1, 2)",50,0.6,l2,False,10.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 50, 'tfidf__max_df': 0.6, 'clf__penalty': 'l2', 'clf__dual': False, 'clf__C': 10}",0.6721687373141096,0.6699989202294349,0.6599856928987355,0.6779719909112655,0.6840246418174194,0.6728299966341929,0.008064596479309327,135
20.72260022163391,0.37133613762446505,2.39292573928833,0.15502330845697146,True,"(1, 3)",50,0.7,l2,False,1.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 50, 'tfidf__max_df': 0.7, 'clf__penalty': 'l2', 'clf__dual': False, 'clf__C': 1}",0.7065794631071358,0.7071669952754249,0.6799164672325282,0.7038646564383649,0.7208391422586331,0.7036733448624173,0.013264550889865369,92
14.161569213867187,0.09166965670846991,1.5538211345672608,0.15010951326600708,True,"(1, 2)",100,0.7,l2,False,10.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 100, 'tfidf__max_df': 0.7, 'clf__penalty': 'l2', 'clf__dual': False, 'clf__C': 10}",0.6453008442664938,0.6351427038043566,0.6256078249183945,0.6605781222425607,0.6493471485067801,0.6431953287477171,0.011988366452999803,155
15.214685106277466,0.37823775022006606,1.6730772495269775,0.19196826791164587,True,"(1, 2)",100,0.9,l2,False,10.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 100, 'tfidf__max_df': 0.9, 'clf__penalty': 'l2', 'clf__dual': False, 'clf__C': 10}",0.640803698455856,0.6384356929588738,0.62504657250796,0.6599748851220555,0.6528215117171727,0.6434164721523837,0.01209730358385212,154
13.906890296936036,0.18806425286838727,1.6630722999572753,0.13909737553708967,True,"(1, 2)",10,0.8,l2,False,0.5,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 10, 'tfidf__max_df': 0.8, 'clf__penalty': 'l2', 'clf__dual': False, 'clf__C': 0.5}",0.7202520217333875,0.7153679310137108,0.7067552996379223,0.719373296346693,0.7427623463013833,0.7209021790066193,0.011928027477687208,41
9.181289148330688,0.39302888811346215,1.334018087387085,0.03725120161599479,True,"(1, 2)",100,0.8,l1,False,0.001,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 100, 'tfidf__max_df': 0.8, 'clf__penalty': 'l1', 'clf__dual': False, 'clf__C': 0.001}",0.08639652677279305,0.08639652677279305,0.08642779587404995,0.08654124457308249,0.08642779587404995,0.0864379779733537,5.3493448136844986e-05,185
11.563376331329346,0.2544386674651091,1.4713773727416992,0.12388549460388183,True,"(1, 2)",100,0.9,l2,False,0.5,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 100, 'tfidf__max_df': 0.9, 'clf__penalty': 'l2', 'clf__dual': False, 'clf__C': 0.5}",0.6984734986052881,0.6994952979219928,0.6726172874588043,0.7043497874283567,0.7079735457081349,0.6965818834245153,0.01246176836586966,98
24.00821762084961,0.6212602296566792,2.7076128005981444,0.3272573203423967,True,"(1, 3)",5,0.5,l2,False,1000.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 5, 'tfidf__max_df': 0.5, 'clf__penalty': 'l2', 'clf__dual': False, 'clf__C': 1000}",0.7214037475287095,0.7226628807331251,0.7076844395851554,0.7321011842893451,0.7316168542274002,0.7230938212727471,0.008879929980148974,33
59.88890600204468,0.5865828680591713,1.4061591625213623,0.03588860707136267,True,"(1, 2)",50,0.9,l1,False,10.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 50, 'tfidf__max_df': 0.9, 'clf__penalty': 'l1', 'clf__dual': False, 'clf__C': 10}",0.6752481775768147,0.6879134289984108,0.6867010611782776,0.6844436424346603,0.7020299998759839,0.6872672620128294,0.008615193121187595,122
64.40591497421265,0.7331466720421268,2.3072710037231445,0.09460264593087442,True,"(1, 3)",10,0.7,l1,False,5.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 10, 'tfidf__max_df': 0.7, 'clf__penalty': 'l1', 'clf__dual': False, 'clf__C': 5}",0.7120628897662599,0.7280688990816063,0.7033533345268722,0.7261413579283194,0.7411853951446828,0.7221623752895482,0.013178575285680586,35
