,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tfidf__sublinear_tf,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_clf__n_estimators,param_clf__min_samples_split,param_clf__min_samples_leaf,param_clf__max_features,param_clf__max_depth,param_clf__criterion,param_clf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
24,8.091794729232788,0.12042084290374003,2.7913906574249268,0.024443545131504336,True,"(1, 2)",10,0.9,1000,0.2,0.30000000000000004,5,28,gini,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 10, 'tfidf__max_df': 0.9, 'clf__n_estimators': 1000, 'clf__min_samples_split': 0.2, 'clf__min_samples_leaf': 0.30000000000000004, 'clf__max_features': 5, 'clf__max_depth': 28, 'clf__criterion': 'gini', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
25,7.7422247409820555,0.12508071527578216,2.3961965560913088,0.025715372575352932,True,"(1, 2)",5,0.8,600,0.30000000000000004,0.4,4,23,gini,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.8, 'clf__n_estimators': 600, 'clf__min_samples_split': 0.30000000000000004, 'clf__min_samples_leaf': 0.4, 'clf__max_features': 4, 'clf__max_depth': 23, 'clf__criterion': 'gini', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
26,14.868780994415284,0.24165874938658077,1.9952656269073485,0.014923933310456253,True,"(1, 3)",50,0.9,700,0.9,0.5,2,23,log_loss,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 50, 'tfidf__max_df': 0.9, 'clf__n_estimators': 700, 'clf__min_samples_split': 0.9, 'clf__min_samples_leaf': 0.5, 'clf__max_features': 2, 'clf__max_depth': 23, 'clf__criterion': 'log_loss', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
27,16.28811421394348,0.08022051084845316,1.972039556503296,0.030486911397894056,True,"(1, 3)",100,0.8,900,0.6,0.2,2,25,log_loss,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 100, 'tfidf__max_df': 0.8, 'clf__n_estimators': 900, 'clf__min_samples_split': 0.6, 'clf__min_samples_leaf': 0.2, 'clf__max_features': 2, 'clf__max_depth': 25, 'clf__criterion': 'log_loss', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
28,18.253909397125245,0.10876622836244727,4.030492544174194,0.013607172350111307,True,"(1, 3)",5,0.7,900,0.8,0.2,2,4,entropy,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 5, 'tfidf__max_df': 0.7, 'clf__n_estimators': 900, 'clf__min_samples_split': 0.8, 'clf__min_samples_leaf': 0.2, 'clf__max_features': 2, 'clf__max_depth': 4, 'clf__criterion': 'entropy', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
29,7.512120771408081,0.11620244807922908,1.698902416229248,0.03232173538601084,True,"(1, 2)",25,0.9,400,0.6,0.5,6,8,entropy,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 25, 'tfidf__max_df': 0.9, 'clf__n_estimators': 400, 'clf__min_samples_split': 0.6, 'clf__min_samples_leaf': 0.5, 'clf__max_features': 6, 'clf__max_depth': 8, 'clf__criterion': 'entropy', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
30,15.791437816619872,0.18982621998045004,2.3177241325378417,0.051024101107177824,True,"(1, 3)",10,0.7,400,1.0,0.30000000000000004,6,24,log_loss,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 10, 'tfidf__max_df': 0.7, 'clf__n_estimators': 400, 'clf__min_samples_split': 1.0, 'clf__min_samples_leaf': 0.30000000000000004, 'clf__max_features': 6, 'clf__max_depth': 24, 'clf__criterion': 'log_loss', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
31,16.798414087295534,0.08495573569337282,2.278997564315796,0.019311750060861766,True,"(1, 3)",25,0.9,400,0.9,0.2,1,32,entropy,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 25, 'tfidf__max_df': 0.9, 'clf__n_estimators': 400, 'clf__min_samples_split': 0.9, 'clf__min_samples_leaf': 0.2, 'clf__max_features': 1, 'clf__max_depth': 32, 'clf__criterion': 'entropy', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
32,16.689786386489867,0.07731186593214419,2.44827880859375,0.05349163508018211,True,"(1, 3)",5,0.7,300,0.1,0.1,1,29,entropy,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 5, 'tfidf__max_df': 0.7, 'clf__n_estimators': 300, 'clf__min_samples_split': 0.1, 'clf__min_samples_leaf': 0.1, 'clf__max_features': 1, 'clf__max_depth': 29, 'clf__criterion': 'entropy', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
33,16.567285108566285,0.1343343051301514,1.914945363998413,0.031673522187731354,True,"(1, 3)",50,0.5,50,0.30000000000000004,0.2,3,32,gini,RandomForestClassifier(),"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 50, 'tfidf__max_df': 0.5, 'clf__n_estimators': 50, 'clf__min_samples_split': 0.30000000000000004, 'clf__min_samples_leaf': 0.2, 'clf__max_features': 3, 'clf__max_depth': 32, 'clf__criterion': 'gini', 'clf': RandomForestClassifier()}",-5.988001845869866,-5.984310106137517,-5.98522622345337,-5.984764542936288,-5.986611265004616,-5.985782796680332,0.0013509974795713842,1
