mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tfidf__sublinear_tf,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_clf__n_estimators,param_clf__min_samples_split,param_clf__min_samples_leaf,param_clf__max_features,param_clf__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7.554052209854126,0.07308819992579554,1.3213871955871581,0.006513943719775824,True,"(1, 2)",100,0.7,300,0.30000000000000004,0.4,0.1,8,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 100, 'tfidf__max_df': 0.7, 'clf__n_estimators': 300, 'clf__min_samples_split': 0.30000000000000004, 'clf__min_samples_leaf': 0.4, 'clf__max_features': 0.1, 'clf__max_depth': 8}",-2.2380528147606653,-2.1911348189110313,-2.2344089308161994,-2.223336470630151,-2.2219208335567138,-2.2217707737349524,0.016527937119098352,362
19.19003610610962,0.12515609306205364,2.3419187545776365,0.09515401449925888,True,"(1, 2)",5,0.5,500,0.5,0.1,0.1,13,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.5, 'clf__n_estimators': 500, 'clf__min_samples_split': 0.5, 'clf__min_samples_leaf': 0.1, 'clf__max_features': 0.1, 'clf__max_depth': 13}",-1.9569225954984135,-1.8703154396214627,-1.9283930602676793,-1.9168337489567264,-1.934448283283306,-1.9213826255255178,0.028675762684851145,11
14.992928457260131,0.12982527344338643,2.108697748184204,0.014771249035540062,True,"(1, 3)",50,0.7,400,0.8,0.2,log2,23,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 50, 'tfidf__max_df': 0.7, 'clf__n_estimators': 400, 'clf__min_samples_split': 0.8, 'clf__min_samples_leaf': 0.2, 'clf__max_features': 'log2', 'clf__max_depth': 23}",-2.2381197009174856,-2.1911042499178204,-2.234376523166496,-2.2234451528844787,-2.2220185608817675,-2.2218128375536095,0.016549828512462936,488
7.488451337814331,0.05630764847201799,1.3429579734802246,0.025800230470606797,True,"(1, 2)",100,0.9,400,1.0,0.2,log2,24,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 100, 'tfidf__max_df': 0.9, 'clf__n_estimators': 400, 'clf__min_samples_split': 1.0, 'clf__min_samples_leaf': 0.2, 'clf__max_features': 'log2', 'clf__max_depth': 24}",-2.238111734109138,-2.1910987535398396,-2.234378378889146,-2.2234198462670514,-2.221969592218582,-2.221795661004751,0.016549969115673396,470
15.598666429519653,0.09314161738555318,2.778654384613037,0.0521907293927421,True,"(1, 3)",25,0.8,700,0.4,0.30000000000000004,sqrt,9,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 25, 'tfidf__max_df': 0.8, 'clf__n_estimators': 700, 'clf__min_samples_split': 0.4, 'clf__min_samples_leaf': 0.30000000000000004, 'clf__max_features': 'sqrt', 'clf__max_depth': 9}",-2.233814547801233,-2.187215415016827,-2.2298174446310264,-2.218942550594156,-2.2167390062478773,-2.217305792858224,0.016355497433206006,119
16.33701882362366,0.09453415075315727,2.198812484741211,0.03751512956693496,True,"(1, 3)",25,0.9,50,0.1,0.4,log2,21,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 25, 'tfidf__max_df': 0.9, 'clf__n_estimators': 50, 'clf__min_samples_split': 0.1, 'clf__min_samples_leaf': 0.4, 'clf__max_features': 'log2', 'clf__max_depth': 21}",-2.238093260070781,-2.1911503435976325,-2.234358823492825,-2.223180964173761,-2.2219753846751638,-2.2217517552020327,0.016519818357791125,254
8.161408138275146,0.055812253567188434,2.6909078121185304,0.05452414489048679,True,"(1, 2)",5,0.9,600,0.7000000000000001,0.1,log2,18,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.9, 'clf__n_estimators': 600, 'clf__min_samples_split': 0.7000000000000001, 'clf__min_samples_leaf': 0.1, 'clf__max_features': 'log2', 'clf__max_depth': 18}",-2.2381778338046465,-2.1911149804595684,-2.2343688943078512,-2.2232589235874443,-2.222014544582902,-2.2217870353484828,0.0165526711768967,450
19.16449556350708,0.16099291990861517,2.0346572399139404,0.07137398113378551,True,"(1, 3)",100,0.6,300,1.0,0.4,0.1,11,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 100, 'tfidf__max_df': 0.6, 'clf__n_estimators': 300, 'clf__min_samples_split': 1.0, 'clf__min_samples_leaf': 0.4, 'clf__max_features': 0.1, 'clf__max_depth': 11}",-2.2381094086255597,-2.191111203614807,-2.234371654039974,-2.2232334263776874,-2.2219457711009056,-2.221754292751787,0.01654032063304411,269
18.030220556259156,0.22684679782632927,2.4952768325805663,0.01353554046703029,True,"(1, 3)",10,0.8,50,0.6,0.2,log2,22,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 10, 'tfidf__max_df': 0.8, 'clf__n_estimators': 50, 'clf__min_samples_split': 0.6, 'clf__min_samples_leaf': 0.2, 'clf__max_features': 'log2', 'clf__max_depth': 22}",-2.2381889252583216,-2.1911860378884223,-2.2343584274325443,-2.2223700355919416,-2.220600004101595,-2.221340686054565,0.016518085428404612,154
9.883373832702636,0.06478852569015182,2.0090823650360106,0.08461960289252228,True,"(1, 2)",50,0.5,900,0.6,0.30000000000000004,sqrt,15,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 50, 'tfidf__max_df': 0.5, 'clf__n_estimators': 900, 'clf__min_samples_split': 0.6, 'clf__min_samples_leaf': 0.30000000000000004, 'clf__max_features': 'sqrt', 'clf__max_depth': 15}",-2.232781901875275,-2.1857052973518463,-2.2311437115133543,-2.219483513427167,-2.2187851082333707,-2.2175799064802026,0.016947828230950552,122
